season,id,name,short_name,description,home_team,away_team,batting_team,bowling_team,toss_won,decision,winner,result,start_date,end_date,venue_id,venue_name,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,1st_inning_runs,1st_inning_wickets,2nd_inning_runs,2nd_inning_wickets
2023,1370353,Chennai Super Kings v Gujarat Titans,CSK v GT,"Final (N), Indian Premier League at Ahmedabad, May 28 2023",Gujrat Titans,Chennai Super Kings,Gujrat Titans,Chennai Super Kings,Chennai Super Kings,BOWL FIRST,Chennai Super Kings,Starts at 19:30 local time,2023-05-28T14:00Z,2023-05-29T23:59Z,57851,Narendra Modi Stadium  Motera  Ahmedabad,Devon Conway,"Chennai Super Kings 2, Gujarat titans 0",FALSE,20,214,4,29,15,171,5,21,214,4,171,5
2023,1370352,Mumbai Indians v Gujarat Titans,MI v GT,"Qualifier 2 (N), Indian Premier League at Ahmedabad, May 26 2023",Gujrat Titans,Mumbai Indians,Gujrat Titans,Mumbai Indians,Mumbai Indians,BOWL FIRST,Gujrat Titans,Starts at 19:30 local time,2023-05-26T14:00Z,2023-05-27T23:59Z,57851,Narendra Modi Stadium  Motera  Ahmedabad,Shubman Gill,"GT 2, MI 0",FALSE,20,233,3,31,18.2,171,10,24,233,3,171,
2023,1370351,Lucknow Super Giants v Mumbai Indians,LSG v MI,"Eliminator (N), Indian Premier League at Chennai, May 24 2023",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,BAT FIRST,Mumbai Indians,Starts at 19:30 local time,2023-05-24T14:00Z,2023-05-25T23:59Z,58008,MA Chidambaram Stadium  Chepauk  Chennai,Akash Madhwal,"MI 2, LSG 0",FALSE,20,182,8,24,16.3,101,10,11,182,8,101,
2023,1370350,Chennai Super Kings v Gujarat Titans,CSK v GT,"Qualifier 1 (N), Indian Premier League at Chennai, May 23 2023",Chennai Super Kings,Gujrat Titans,Chennai Super Kings,Gujrat Titans,Chennai Super Kings,BAT FIRST,Chennai Super Kings,Starts at 19:30 local time,2023-05-23T14:00Z,2023-05-24T23:59Z,58008,MA Chidambaram Stadium  Chepauk  Chennai,Ruturaj Gaikwad,"CSK 2, GT 0",FALSE,20,172,7,18,20,157,10,18,172,7,157,
2023,1359544,Royal Challengers Bangalore v Gujarat Titans,RCB v GT,"70th Match (N), Indian Premier League at Bengaluru, May 21 2023",Royal Challengers Bangalore,Gujrat Titans,Royal Challengers Bangalore,Gujrat Titans,Gujrat Titans,BOWL FIRST,Gujrat Titans,Titans won by 6 wkts (5b rem),2023-05-21T14:00Z,2023-05-22T23:59Z,57897,M.Chinnaswamy Stadium  Bengaluru,Shubman Gill,"Gujarat Titans 2, Royal Challengers Bangalore 0",FALSE,20,197,5,28,19.1,198,4,25,197,5,198,4
2023,1359543,Mumbai Indians v Sunrisers Hyderabad,MI v SRH,"69th Match (D/N), Indian Premier League at Mumbai, May 21 2023",Mumbai Indians, Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,BOWL FIRST,Mumbai Indians,Mumbai won by 8 wkts (12b rem),2023-05-21T10:00Z,2023-05-22T23:59Z,58324,Wankhede Stadium  Mumbai,Cameron Green,"Mumbai Indians 2, Sunrisers Hyderabad 0",FALSE,18,201,2,31,20,200,5,27,200,5,201,2
2023,1359542,Kolkata Knight Riders v Lucknow Super Giants,KKR v LSG,"68th Match (N), Indian Premier League at Kolkata, May 20 2023",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,BOWL FIRST,Lucknow Super Giants,Super Giants won by 1 run,2023-05-20T14:00Z,2023-05-21T23:59Z,57980,Eden Gardens  Kolkata,Nicholas Pooran,"Lucknow Super Giants 2, Kolkata Knight Riders 0",FALSE,20,175,7,24,20,176,8,22,176,8,175,7
2023,1359541,Delhi Capitals v Chennai Super Kings,DC v CSK,"67th Match (D/N), Indian Premier League at Delhi, May 20 2023",Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,BAT FIRST,Chennai Super Kings,Super Kings won by 77 runs,2023-05-20T10:00Z,2023-05-21T23:59Z,58040,Arun Jaitley Stadium  Delhi,Ruturaj Gaikwad,"Chennai Super Kings 2, Delhi Capitals 0",FALSE,20,146,9,17,20,223,3,31,223,3,146,9
2023,1359540,Punjab Kings v Rajasthan Royals,PBKS v RR,"66th Match (N), Indian Premier League at Dharamsala, May 19 2023",Punjab Kings,Rajasthan Royals,Punjab Kings, Rajasthan Royals,Rajasthan Royals,BOWL FIRST,Rajasthan Royals,Royals won by 4 wkts (2b rem),2023-05-19T14:00Z,2023-05-20T23:59Z,58056,Himachal Pradesh Cricket Association Stadium  Dharamsala,Devdutt Padikkal,"Rajasthan Royals 2, Punjab Kings 0",FALSE,20,187,5,26,19.4,189,6,27,187,5,189,6
2023,1359539,Sunrisers Hyderabad v Royal Challengers Bangalore,SRH v RCB,"65th Match (N), Indian Premier League at Hyderabad, May 18 2023", Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,BOWL FIRST,Royal Challengers Bangalore,RCB won by 8 wkts (4b rem),2023-05-18T14:00Z,2023-05-19T23:59Z,58142,Rajiv Gandhi International Stadium  Uppal  Hyderabad,Virat Kohli,"Royal Challengers Bangalore 2, Sunrisers Hyderabad 0",FALSE,20,186,5,23,19.2,187,2,26,186,5,187,2
2023,1359538,Punjab Kings v Delhi Capitals,PBKS v DC,"64th Match (N), Indian Premier League at Dharamsala, May 17 2023",Punjab Kings,Delhi Capitals,Delhi Capitals,Punjab Kings,Punjab Kings,BOWL FIRST,Delhi Capitals,Capitals won by 15 runs,2023-05-17T14:00Z,2023-05-18T23:59Z,58056,Himachal Pradesh Cricket Association Stadium  Dharamsala,Rilee Rossouw,"Delhi Capitals 2, Punjab Kings 0",FALSE,20,198,8,28,20,213,2,31,213,2,198,8
2023,1359537,Lucknow Super Giants v Mumbai Indians,LSG v MI,"63rd Match (N), Indian Premier League at Lucknow, May 16 2023",Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,BOWL FIRST,Lucknow Super Giants,Super Giants won by 5 runs,2023-05-16T14:00Z,2023-05-17T23:59Z,1070094,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium  Lucknow,Marcus Stoinis,"Lucknow Super Giants 2, Mumbai Indians 0",FALSE,20,177,3,17,20,172,5,19,177,3,172,5
2023,1359536,Gujarat Titans v Sunrisers Hyderabad,GT v SRH,"62nd Match (N), Indian Premier League at Ahmedabad, May 15 2023",Gujrat Titans, Sunrisers Hyderabad,Gujrat Titans,Sunrisers Hyderabad, Sunrisers Hyderabad,BOWL FIRST,Gujrat Titans,Titans won by 34 runs,2023-05-15T14:00Z,2023-05-16T23:59Z,57851,Narendra Modi Stadium  Motera  Ahmedabad,Shubman Gill,"Gujarat Titans 2, Sunrisers Hyderabad 0",FALSE,20,188,9,24,20,154,9,18,188,9,154,9
2023,1359535,Chennai Super Kings v Kolkata Knight Riders,CSK v KKR,"61st Match (N), Indian Premier League at Chennai, May 14 2023",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,BAT FIRST,Kolkata Knight Riders,KKR won by 6 wkts (9b rem),2023-05-14T14:00Z,2023-05-15T23:59Z,58008,MA Chidambaram Stadium  Chepauk  Chennai,Rinku Singh,"Kolkata Knight Riders 2, Chennai Super Kings 0",FALSE,20,144,6,12,18.3,147,4,17,144,6,147,4
2023,1359534,Rajasthan Royals v Royal Challengers Bangalore,RR v RCB,"60th Match (D/N), Indian Premier League at Jaipur, May 14 2023",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,BAT FIRST,Royal Challengers Bangalore,RCB won by 112 runs,2023-05-14T10:00Z,2023-05-15T23:59Z,58162,Sawai Mansingh Stadium  Jaipur,Wayne Parnell,"Royal Challengers Bangalore 2, Rajasthan Royals 0",FALSE,10.3,59,10,8,20,171,5,19,171,5,59,
2023,1359533,Delhi Capitals v Punjab Kings,DC v PBKS,"59th Match (N), Indian Premier League at Delhi, May 13 2023",Delhi Capitals,Punjab Kings,Punjab Kings,Delhi Capitals,Delhi Capitals,BOWL FIRST,Punjab Kings,Punjab Kings won by 31 runs,2023-05-13T14:00Z,2023-05-14T23:59Z,58040,Arun Jaitley Stadium  Delhi,Prabhsimran Singh,"Punjab Kings 2, Delhi Capitals 0",FALSE,20,136,8,19,20,167,7,21,167,7,136,8
2023,1359532,Sunrisers Hyderabad v Lucknow Super Giants,SRH v LSG,"58th Match (D/N), Indian Premier League at Hyderabad, May 13 2023", Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants, Sunrisers Hyderabad,BAT FIRST,Lucknow Super Giants,Super Giants won by 7 wkts (4b rem),2023-05-13T10:00Z,2023-05-14T23:59Z,58142,Rajiv Gandhi International Stadium  Uppal  Hyderabad,Prerak Mankad,"Lucknow Super Giants 2, Sunrisers Hyderabad 0",FALSE,20,182,6,26,19.2,185,3,25,182,6,185,3
2023,1359531,Mumbai Indians v Gujarat Titans,MI v GT,"57th Match (N), Indian Premier League at Mumbai, May 12 2023",Mumbai Indians,Gujrat Titans,Mumbai Indians,Gujrat Titans,Gujrat Titans,BOWL FIRST,Mumbai Indians,Mumbai won by 27 runs,2023-05-12T14:00Z,2023-05-13T23:59Z,58324,Wankhede Stadium  Mumbai,Suryakumar Yadav,"Mumbai Indians 2, Gujarat Titans 0",FALSE,20,218,5,34,20,191,8,28,218,5,191,8
2023,1359530,Kolkata Knight Riders v Rajasthan Royals,KKR v RR,"56th Match (N), Indian Premier League at Kolkata, May 11 2023",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,BOWL FIRST,Rajasthan Royals,Royals won by 9 wkts (41b rem),2023-05-11T14:00Z,2023-05-12T23:59Z,57980,Eden Gardens  Kolkata,Yashasvi Jaiswal,"Rajasthan Royals 2, Kolkata Knight Riders 0",FALSE,20,149,8,16,13.1,151,1,24,149,8,151,1
2023,1359529,Chennai Super Kings v Delhi Capitals,CSK v DC,"55th Match (N), Indian Premier League at Chennai, May 10 2023",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,BAT FIRST,Chennai Super Kings,Super Kings won by 27 runs,2023-05-10T14:00Z,2023-05-11T23:59Z,58008,MA Chidambaram Stadium  Chepauk  Chennai,Ravindra Jadeja,"Chennai Super Kings 2, Delhi Capitals 0",FALSE,20,167,8,17,20,140,8,16,167,8,140,8
